Method,Test_Accuracy_Mean,Test_Accuracy_Std,Time_Mean,Parameters
BaggingClassifier,0.8273408239700375,0.022059257412175622,0.2811481237411499,"{'base_estimator': None, 'bootstrap': False, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.25, 'n_estimators': 300, 'n_jobs': None, 'oob_score': False, 'random_state': 0, 'verbose': 0, 'warm_start': False}"
RandomForestClassifier,0.8265917602996256,0.02085641317202374,0.25511343479156495,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': True, 'random_state': 0, 'verbose': 0, 'warm_start': False}"
ExtraTreesClassifier,0.8258426966292134,0.02405474265667628,0.18948872089385987,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': False, 'random_state': 0, 'verbose': 0, 'warm_start': False}"
SVC,0.8224719101123596,0.0238762208996393,0.050368428230285645,"{'C': 3, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 0, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
LogisticRegressionCV,0.8209737827715357,0.018485337347195624,0.24863483905792236,"{'Cs': 10, 'class_weight': None, 'cv': 'warn', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1.0, 'l1_ratios': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'refit': True, 'scoring': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0}"
LinearSVC,0.8202247191011237,0.016325464208017504,0.0075795650482177734,"{'C': 1.0, 'class_weight': None, 'dual': True, 'fit_intercept': False, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 0, 'tol': 0.0001, 'verbose': 0}"
GradientBoostingClassifier,0.8198501872659177,0.021413921136962995,0.062234020233154295,"{'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 4, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_iter_no_change': None, 'presort': 'auto', 'random_state': 0, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
RidgeClassifierCV,0.8191011235955056,0.018198547735215495,0.004089093208312989,"{'alphas': array([ 0.1,  1. , 10. ]), 'class_weight': None, 'cv': None, 'fit_intercept': True, 'normalize': False, 'scoring': None, 'store_cv_values': False}"
GaussianProcessClassifier,0.8187265917602996,0.03265951963534327,0.16365957260131836,"{'copy_X_train': True, 'kernel': None, 'max_iter_predict': 10, 'multi_class': 'one_vs_rest', 'n_jobs': None, 'n_restarts_optimizer': 0, 'optimizer': 'fmin_l_bfgs_b', 'random_state': 0, 'warm_start': False}"
LinearDiscriminantAnalysis,0.8179775280898877,0.019112136063180636,0.003287863731384277,"{'n_components': None, 'priors': None, 'shrinkage': None, 'solver': 'eigen', 'store_covariance': False, 'tol': 0.0001}"
XGBClassifier,0.8172284644194756,0.02477578338358237,0.08766562938690185,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'gamma': None, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.03, 'max_delta_step': None, 'max_depth': 2, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 300, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': False, 'verbosity': None, 'seed': 0}"
AdaBoostClassifier,0.8149812734082398,0.01599562284948511,0.28464651107788086,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.03, 'n_estimators': 300, 'random_state': 0}"
KNeighborsClassifier,0.7861423220973782,0.027289470010407303,0.001894688606262207,"{'algorithm': 'brute', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}"
BernoulliNB,0.7797752808988764,0.01771024781653467,0.0023934602737426757,"{'alpha': 0.1, 'binarize': 0.0, 'class_prior': None, 'fit_prior': True}"
