Method,Test_Accuracy_Mean,Test_Accuracy_Std,Time_Mean,Parameters
BaggingClassifier,0.8280898876404494,0.02212275569381627,0.29073026180267336,"{'base_estimator': None, 'bootstrap': False, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.25, 'n_estimators': 300, 'n_jobs': None, 'oob_score': False, 'random_state': 0, 'verbose': 0, 'warm_start': False}"
RandomForestClassifier,0.8269662921348313,0.02090679511153988,0.26669902801513673,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': True, 'random_state': 0, 'verbose': 0, 'warm_start': False}"
SVC,0.8265917602996253,0.024959111732653392,0.055756330490112305,"{'C': 5, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 0, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
GradientBoostingClassifier,0.8232209737827715,0.021825921025218672,0.06722023487091064,"{'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'exponential', 'max_depth': 4, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_iter_no_change': None, 'presort': 'auto', 'random_state': 0, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
ExtraTreesClassifier,0.8224719101123595,0.022106898222282706,0.21003355979919433,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': False, 'random_state': 0, 'verbose': 0, 'warm_start': False}"
GaussianProcessClassifier,0.8191011235955058,0.03182639225867696,0.17921535968780516,"{'copy_X_train': True, 'kernel': None, 'max_iter_predict': 10, 'multi_class': 'one_vs_rest', 'n_jobs': None, 'n_restarts_optimizer': 0, 'optimizer': 'fmin_l_bfgs_b', 'random_state': 0, 'warm_start': False}"
RidgeClassifierCV,0.8183520599250936,0.018443553935947765,0.004687905311584473,"{'alphas': array([ 0.1,  1. , 10. ]), 'class_weight': None, 'cv': None, 'fit_intercept': True, 'normalize': False, 'scoring': None, 'store_cv_values': False}"
LogisticRegressionCV,0.8172284644194756,0.016222028335361592,0.22390422821044922,"{'Cs': 10, 'class_weight': None, 'cv': 'warn', 'dual': False, 'fit_intercept': False, 'intercept_scaling': 1.0, 'l1_ratios': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': None, 'penalty': 'l2', 'random_state': 0, 'refit': True, 'scoring': None, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0}"
XGBClassifier,0.8172284644194756,0.023014668907471482,0.04109210968017578,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'gamma': None, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.03, 'max_delta_step': None, 'max_depth': 2, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': False, 'verbosity': None, 'seed': 0}"
LinearSVC,0.8168539325842696,0.016953513554691036,0.0092742919921875,"{'C': 1.0, 'class_weight': None, 'dual': True, 'fit_intercept': False, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 0, 'tol': 0.0001, 'verbose': 0}"
AdaBoostClassifier,0.8157303370786517,0.01596050618176967,0.2988983869552612,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 0.05, 'n_estimators': 300, 'random_state': 0}"
LinearDiscriminantAnalysis,0.8153558052434458,0.01850429861728184,0.005981063842773438,"{'n_components': None, 'priors': None, 'shrinkage': None, 'solver': 'eigen', 'store_covariance': False, 'tol': 0.0001}"
KNeighborsClassifier,0.7827715355805245,0.027826480331096207,0.002493429183959961,"{'algorithm': 'brute', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}"
BernoulliNB,0.7816479400749063,0.01924743843824659,0.002396965026855469,"{'alpha': 0.1, 'binarize': 0.0, 'class_prior': None, 'fit_prior': True}"
